T_K,P_atm,mu_Pa_s,kappa_W_mK,kappa_H_W_mK,kappa_e_W_mK,kappa_int_W_mK,kappa_reac_W_mK,sigma_S_m,nu_e_1_s,Astar_e,Bstar_e,Cstar_e,cp_frozen_J_kgK,cp_reac_J_kgK,kappa_reac_grad_mass_W_mK,kappa_reac_grad_mole_W_mK,kappa_reac_cp_W_mK
15100.0,0.1,1.5069498801436962e-05,1.2137387144458172,0.010422423946096286,1.1150789004305284,0.0006332250548148267,0.08760416501437746,6084.585326196476,108502744620.58171,1.102583216438617,1.1529268290769858,0.412351735300177,1042.388555244374,3051.628245956005,0.018967585619056274,0.008379303793662193,0.06863657939532118
15300.0,0.1,1.4224836447657309e-05,1.2280966490904468,0.009970736309802554,1.1469049948858656,0.0005738920309195433,0.07064702586385924,6174.82577719988,106235334751.48325,1.1023492310807128,1.152329095794456,0.41198263021195386,1047.080751423206,2582.4502637859214,0.015818768197345498,0.006861513440499009,0.05482825766651374
15500.0,0.1,1.3562050673051121e-05,1.24656630310845,0.009626224206650807,1.178894322827339,0.000524921151730932,0.05752083492272943,6264.100842818946,103948895543.50269,1.1021126893882636,1.1517262880685069,0.4116169052114495,1050.8123217945297,2191.289519872448,0.013165044612526444,0.005616207821278549,0.04435579031020299
15700.0,0.1,1.3048680198157452e-05,1.268290170946229,0.009369388407124578,1.2110573688372488,0.00048457684748930857,0.04737883685436647,6352.425155463391,101667928067.88525,1.1018751722269728,1.151122322086291,0.4112557240068227,1053.7836173194216,1870.7425700578153,0.010944924123376035,0.004597862880325504,0.036433912730990434
15900.0,0.1,1.2657781594607767e-05,1.2926142678275003,0.00918408926401496,1.2433985804145702,0.00045141197392200834,0.0395801861749932,6439.763403257087,99412000469.0602,1.1016381126079793,1.1505207649634113,0.41090021925021686,1056.1681950093237,1613.5124932374072,0.009097367160709406,0.0037668284579180185,0.03048281901428379
16100.0,0.1,1.236697190136654e-05,1.3190448527934049,0.009056912123570142,1.275916090085108,0.0004242464546300317,0.03364760413009654,6526.027286811117,97196799271.90942,1.1014028535644256,1.1499249730884984,0.4105515445148067,1058.1155220864687,1413.0401741452354,0.0075654725940424985,0.003089365300144975,0.026082131536054043
16300.0,0.1,1.2157577556161188e-05,1.3472119655002068,0.008976617775437429,1.3086013633540603,0.00040213461241922694,0.02923184975828988,6611.0714951057225,95035045771.95789,1.1011707030941804,1.1493382216304795,0.4102109237248818,1059.7544973503263,1263.8591271272276,0.00629831937304891,0.002537239415292714,0.02293353038524097
16500.0,0.1,1.2013895154159962e-05,1.3768401364124028,0.008933673033612442,1.341438743990042,0.0003843292209588338,0.02608339016778944,6694.68869890272,92937273778.44963,1.1009429856106958,1.1487638234871074,0.4098796973065673,1061.1972246815626,1161.7632541988241,0.005251596242565022,0.0020871053907250345,0.02083179392522442
16700.0,0.1,1.1922536822698324e-05,1.4080185930643423,0.008919835940156525,1.3746980873797545,0.0003702459269921444,0.024030423817439157,6776.901162285084,90908487005.05675,1.1007203130174708,1.1482136565877568,0.40956657537148683,1062.542702632822,1103.8556341720223,0.004387499272127295,0.0017198237539372456,0.01964292454531186
16900.0,0.1,1.187187363685979e-05,1.4415183527728415,0.008927805012550777,1.4092690777435926,0.0003594308277918565,0.02296203918890635,6858.292110629361,88944967563.235,1.1005018991865947,1.1477161149390807,0.40929440771305053,1063.8802489816574,1088.5250029260303,0.0036742313003984917,0.0014197961572646456,0.019287807888507858
17100.0,0.1,1.1851791428057842e-05,1.476090505492512,0.008951099931949282,1.4439723489405822,0.00035153834223268423,0.022815518277747564,6937.276844633992,87070129143.00044,1.1002925089101245,1.1472412461357082,0.40903603292882673,1065.2925748140187,1115.378418119847,0.0030853207032497765,0.0011743601743747477,0.019730197574497788
17300.0,0.1,1.1853077320147556e-05,1.5116502859054999,0.00898364402257102,1.4787548679787608,0.00034629871441615756,0.02356547518975203,7013.3406731053665,85291077668.975,1.1000939663394762,1.1467932198646464,0.4087934401567213,1066.8584746924175,1185.1444993222372,0.002598894016596744,0.0009732616765496365,0.020966581173155283
17500.0,0.1,1.1867216065541947e-05,1.5481308119625112,0.009019658557598424,1.5135526865635374,0.00034349888284522495,0.025214967958530253,7085.882145173784,83614881194.47375,1.0999082844623373,1.146376555010301,0.40856883372487013,1068.6551214256256,1299.5512612471612,0.002196974517533822,0.0008082080773278077,0.02301799344099643
17700.0,0.1,1.1886169044128528e-05,1.585473914115863,0.009053537935266245,1.5482905129274704,0.0003429626898197338,0.027786900563306377,7154.215030032185,82048721407.6311,1.0997376651275539,1.1459960922516201,0.40836460886118126,1070.7599564544878,1461.1753033842872,0.0018648458481848478,0.0006724967633705234,0.025922054715121528
